Date,Close/Last,Open,High,Low
09/04/2024,5520.07,5506.68,5552.99,5503.66
09/03/2024,5528.93,5623.89,5623.89,5504.33
08/30/2024,5648.40,5612.74,5651.37,5581.79
08/29/2024,5591.96,5607.30,5646.95,5583.71
08/28/2024,5592.18,5624.51,5627.03,5560.95
08/27/2024,5625.80,5602.89,5631.18,5593.48
08/26/2024,5616.84,5639.66,5651.62,5602.34
08/23/2024,5634.61,5602.49,5641.82,5585.16
08/22/2024,5570.64,5637.77,5643.22,5560.95
08/21/2024,5620.85,5603.09,5632.68,5591.57
08/20/2024,5597.12,5602.88,5620.51,5585.50
08/19/2024,5608.25,5557.23,5608.30,5550.74
08/16/2024,5554.25,5530.50,5561.98,5525.17
08/15/2024,5543.22,5501.13,5546.23,5501.13
08/14/2024,5455.21,5442.36,5463.22,5415.91
08/13/2024,5434.43,5376.98,5436.50,5376.98
08/12/2024,5344.39,5351.88,5371.20,5324.37
08/09/2024,5344.16,5314.66,5358.67,5300.84
08/08/2024,5319.31,5252.57,5328.03,5233.85
08/07/2024,5199.50,5293.13,5330.64,5195.54
08/06/2024,5240.03,5206.42,5312.34,5193.56
08/05/2024,5186.33,5151.14,5250.89,5119.26
