"","Country","date","iso_a3","currency_code","local_price","dollar_ex","dollar_price","USD","EUR","GBP","JPY","CNY","GDP.Per.Capita"
"1","Argentina",2024-07-01,"ARG","ARS",6100,931.9742,6.54524556581073,0.15031,0.08012,0.11018,1.05166,0.85515,"12811.84"
"2","Australia",2024-07-01,"AUS","AUD",7.75,1.53139356814701,5.06075000000001,-0.11059,-0.16486,-0.14161,0.58633,0.4344,"66589.055"
"3","Azerbaijan",2024-07-01,"AZE","AZN",6.15,1.7,3.61764705882353,-0.36421,-0.403,-0.38639,0.13398,0.02537,"7640.915"
"4","Bahrain",2024-07-01,"BHR","BHD",1.7,0.377,4.50928381962865,-0.20751,-0.25586,-0.23515,0.41347,0.27809,"28876.454"
"5","Brazil",2024-07-01,"BRA","BRL",23.9,5.65275,4.22803060457299,-0.25694,-0.30228,-0.28286,0.32531,0.19837,"11351.871"
"6","Canada",2024-07-01,"CAN","CAD",7.62,1.38145,5.5159433928119,-0.03059,-0.08974,-0.0644,0.72902,0.56341,"54866.046"
"7","Chile",2024-07-01,"CHL","CLP",4290,944.85,4.5404032386093,-0.20204,-0.25073,-0.22987,0.42323,0.28691,"16616.231"
"8","Colombia",2024-07-01,"COL","COP",19900,4058.99,4.90269746907482,-0.13837,-0.19094,-0.16842,0.53679,0.3896,"7327.118"
"9","Costa Rica",2024-07-01,"CRI","CRC",2950,524.47,5.62472591377963,-0.01147,-0.07179,-0.04595,0.76312,0.59425,"18030.977"
"10","Czech Republic",2024-07-01,"CZE","CZK",109,23.53295,4.63180349254981,-0.18597,-0.23564,-0.21437,0.45188,0.31282,"29800.665"
"11","Denmark",2024-07-01,"DNK","DKK",39,6.8959,5.65553444800534,-0.00606,-0.06671,-0.04073,0.77277,0.60298,"68897.547"
"12","Egypt",2024-07-01,"EGY","EGP",120,48.6,2.46913580246914,-0.56606,-0.59254,-0.58119,-0.22603,-0.30016,"3224.868"
"13","Euro area",2024-07-01,"EUZ","EUR",5.6,0.92413,6.0597534978845,0.06498,0,0.02783,0.89948,0.71755,"45825.83"
"14","Guatemala",2024-07-01,"GTM","GTQ",31,7.7458,4.00216891734876,-0.29663,-0.33955,-0.32117,0.25451,0.13436,"5678.085"
"15","Honduras",2024-07-01,"HND","HNL",102,24.79555,4.11364135903418,-0.27704,-0.32115,-0.30226,0.28946,0.16595,"3504.502"
"16","Hungary",2024-07-01,"HUN","HUF",1420,364.17615,3.89921196102491,-0.31473,-0.35654,-0.33863,0.22224,0.10517,"23318.553"
