,Area.Name,Area.ID,Park.Name,Park.ID,Squirrel.ID,Primary.Fur.Color,Highlights.in.Fur.Color,Color.Notes,Location,Above.Ground..Height.in.Feet.,Specific.Location,Activities,Interactions.with.Humans,Other.Notes.or.Observations,Squirrel.Latitude..DD.DDDDDD.,Squirrel.Longitude...DD.DDDDDD.
1,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-01,Gray,White,,Ground Plane,,,Foraging,Approaches,,40.85941,-73.933936
2,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-02,Gray,White,,Ground Plane,,,Foraging,Indifferent,Looks skinny,40.859436,-73.933937
3,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-03,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.859416,-73.933894
4,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-04,Gray,White,,Ground Plane,,,Running,Indifferent,,40.859418,-73.933895
5,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-05,Gray,Cinnamon,,Ground Plane,,,Running,Indifferent,She left food,40.859493,-73.93359
6,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-06,Gray,Cinnamon,,Ground Plane,,,Climbing,Watching/Cautious,,40.860825,-73.932871
7,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-07,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.860225,-73.933143
8,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-08,Black,Gray,,Above Ground,10,,Climbing,Runs from,,40.859965,-73.933412
9,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-09,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.859892,-73.933326
10,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-10,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.859636,-73.933717
11,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-11,Gray,Black,,Ground Plane,,,Foraging,Indifferent,was intimidated by a dog,40.859576,-73.933738
12,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-12,Gray,White,,Ground Plane,,,Running,Runs from,,40.859989,-73.934544
13,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-01,Black,Gray,,Ground Plane,,,Running,Indifferent,,40.845749,-73.9407
14,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-02,Black,Cinnamon,,Above Ground,2,,Foraging,Indifferent,,40.845875,-73.940808
15,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-03,Black,Cinnamon,,Ground Plane,,,Foraging,Watching/Cautious,,40.845875,-73.940808
16,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-04,Black,Cinnamon,,Ground Plane,,,Running,Indifferent,,40.846088,-73.940613
17,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-05,Black,Cinnamon,,Ground Plane,,,Running,Runs from,,40.846088,-73.940613
18,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-06,Black,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846088,-73.940613
19,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-07,Black,Gray,,Ground Plane,,,Sleeping,Runs from,,40.846222,-73.94094
20,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-08,Black,Cinnamon,,Ground Plane,,,Foraging,Approaches,,40.846222,-73.94094
21,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-10,Black,Cinnamon,,Ground Plane,,,Running,Watching/Cautious,,40.846185,-73.940613
22,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-11,Black,Cinnamon,,Ground Plane,,,Eating,Runs from,,40.846271,-73.940579
23,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-12,Gray,Cinnamon,,"Above Ground, Specific Location",15,tree,Climbing,Indifferent,,40.846332,-73.940369
24,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-13,Gray,White,,"Above Ground, Specific Location",20,tree,Sleeping,Indifferent,,40.846332,-73.940369
25,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-14,Gray,Gray,,Ground Plane,,,Running,Indifferent,,40.846332,-73.940369
26,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-15,Gray,White,,Ground Plane,,,Running,Watching/Cautious,,40.846458,-73.94103
27,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-16,Gray,Cinnamon,,"Above Ground, Specific Location",20,tree,Eating,Watching/Cautious,,40.846417,-73.941115
28,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-17,Gray,Gray,,Ground Plane,,,Running,Watching/Cautious,,40.846296,-73.941132
29,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-18,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846064,-73.941497
30,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-19,Gray,Cinnamon,,"Above Ground, Specific Location",2,tree,Climbing,Indifferent,,40.846065,-73.941498
31,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-20,Gray,Cinnamon,,Ground Plane,,,Foraging,Approaches,,40.847296,-73.942061
32,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-21,Gray,Cinnamon,,Ground Plane,,,Foraging,Runs from,,40.847259,-73.941598
33,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-22,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.84719,-73.941308
34,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-23,Gray,Cinnamon,,"Above Ground, Specific Location",2,fence,Eating,Indifferent,,40.84719,-73.941308
35,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-24,Cinnamon,White,,"Above Ground, Specific Location",20,tree,Sitting,Indifferent,,40.847113,-73.940937
